To,Location;;
entrada[0],PIN_N25;;
entrada[1],PIN_N26;;
entrada[2],PIN_P25;;
entrada[3],PIN_AE14;;
;;
saida[0],PIN_AF10;;
saida[1],PIN_AB12;;
saida[2],PIN_AC12;;
saida[3],PIN_AD11;;
saida[4],PIN_AE11;;
saida[5],PIN_V14;;
saida[6],PIN_V13    ;;
;;
;;
clk,PIN_N2;;
DR_TecladoAndar[0],PIN_N25;;
DR_TecladoAndar[1],PIN_N26;;
DR_TecladoAndar[2],PIN_P25;;
DR_TecladoQuarto[0],PIN_AD13;;
DR_TecladoQuarto[1],PIN_AC13;;
DR_TecladoQuarto[2],PIN_C13;;
DR_TecladoQuarto[3],PIN_B13;;
DR_Porta,PIN_V2;;
DR_ENVIAR,PIN_U4;;
DR_CodigoLiberacao[0],PIN_N1;;
DR_CodigoLiberacao[1],PIN_P1;;
DR_CodigoLiberacao[2],PIN_P2;;
DR_Reset,PIN_V1;;
DR_Emer_Solucionado,PIN_U3;;
;;
DR_Emergencia,PIN_AE14;;
DR_PortaFechada,PIN_Y18;LED VERDE;
DR_PortaAberta,PIN_AE23;LED VERMELHO;
DR_Tecnico,PIN_AC21;LED VERMELHO;
DR_CHEGOU,PIN_AF22;LERDE VERDE;
DR_Emerg_SigOUT,PIN_AD12;LED VERMELHO;
LED_FUNCIONAL,PIN_V18;
LED_WAITING, PIN_AD15;
LED_SENDING, PIN_AF13;
LED_ARRIVED, PIN_AE12;
